       Step     Time          Energy         fmax
GPMin:    0 13:03:02      -81.634987        2.5666
GPMin:    1 13:04:48      -82.584469        1.2593
GPMin:    2 13:06:24      -82.853157        0.5275
GPMin:    3 13:07:55      -82.959635        0.1262
GPMin:    4 13:08:52      -82.965278        0.1036
GPMin:    5 13:11:40      -82.970049        0.0330
GPMin:    6 13:12:37      -82.970632        0.0208
GPMin:    7 13:13:23      -82.970836        0.0306
GPMin:    8 13:14:09      -82.970942        0.0155
GPMin:    9 13:14:55      -82.970997        0.0130
GPMin:   10 13:18:10      -82.971054        0.0069
